Date_Time (GMT), Event, Speed (cm/sec)
2020-08-05 16:03, ebb,-29
2020-08-05 18:02, slack,-
2020-08-06 00:29, flood,45
2020-08-06 02:26, slack,-
2020-08-06 04:15, ebb,-31
2020-08-06 06:38, slack,-
2020-08-06 13:11, flood,49
2020-08-06 15:02, slack,-
2020-08-06 16:39, ebb,-28
2020-08-06 18:50, slack,-
2020-08-07 01:11, flood,42
2020-08-07 03:14, slack,-
2020-08-07 04:51, ebb,-30
2020-08-07 07:20, slack,-
2020-08-07 13:53, flood,44
2020-08-07 15:44, slack,-
2020-08-07 17:21, ebb,-27
2020-08-07 19:38, slack,-
2020-08-08 01:47, flood,38
2020-08-08 03:56, slack,-
2020-08-08 05:33, ebb,-29
2020-08-08 08:02, slack,-
2020-08-08 14:35, flood,39
2020-08-08 16:32, slack,-
2020-08-08 17:57, ebb,-26
2020-08-08 20:26, slack,-
2020-08-09 01:23, flood,36
2020-08-09 04:38, slack,-
2020-08-09 06:15, ebb,-28
2020-08-09 08:44, slack,-
2020-08-09 13:53, flood,35
2020-08-09 17:14, slack,-
2020-08-09 18:39, ebb,-25
2020-08-09 21:14, slack,-
2020-08-10 02:05, flood,34
2020-08-10 05:26, slack,-
2020-08-10 06:57, ebb,-26
2020-08-10 09:32, slack,-
2020-08-10 14:23, flood,34
2020-08-10 17:56, slack,-
2020-08-10 19:21, ebb,-24
2020-08-10 22:08, slack,-
2020-08-11 02:47, flood,32
2020-08-11 06:14, slack,-
2020-08-11 07:39, ebb,-25
2020-08-11 10:14, slack,-
2020-08-11 14:59, flood,34
2020-08-11 18:38, slack,-
2020-08-11 20:09, ebb,-23
2020-08-11 23:02, slack,-
2020-08-12 03:35, flood,31
2020-08-12 07:02, slack,-
2020-08-12 08:27, ebb,-23
2020-08-12 11:02, slack,-
2020-08-12 15:41, flood,34
2020-08-12 19:26, slack,-
2020-08-12 20:57, ebb,-23
2020-08-12 23:50, slack,-
2020-08-13 04:23, flood,31
2020-08-13 07:50, slack,-
2020-08-13 09:21, ebb,-22
2020-08-13 11:50, slack,-
2020-08-13 16:23, flood,34
2020-08-13 20:14, slack,-
2020-08-13 21:51, ebb,-23
2020-08-14 00:44, slack,-
2020-08-14 05:11, flood,32
2020-08-14 08:44, slack,-
2020-08-14 10:15, ebb,-22
2020-08-14 12:38, slack,-
2020-08-14 17:17, flood,36
2020-08-14 21:02, slack,-
2020-08-14 22:45, ebb,-25
2020-08-15 01:26, slack,-
2020-08-15 06:05, flood,34
2020-08-15 09:44, slack,-
2020-08-15 11:09, ebb,-24
2020-08-15 13:26, slack,-
2020-08-15 18:05, flood,38
2020-08-15 21:56, slack,-
2020-08-15 23:39, ebb,-27
2020-08-16 02:14, slack,-
2020-08-16 06:59, flood,37
2020-08-16 10:32, slack,-
2020-08-16 12:03, ebb,-26
2020-08-16 14:14, slack,-
2020-08-16 18:59, flood,41
2020-08-16 22:44, slack,-
2020-08-17 00:27, ebb,-30
2020-08-17 03:02, slack,-
2020-08-17 07:53, flood,41
2020-08-17 11:20, slack,-
2020-08-17 12:57, ebb,-29
2020-08-17 15:02, slack,-
2020-08-17 19:53, flood,45
2020-08-17 23:32, slack,-
2020-08-18 01:15, ebb,-34
2020-08-18 03:44, slack,-
2020-08-18 08:47, flood,46
2020-08-18 12:08, slack,-
2020-08-18 13:45, ebb,-32
2020-08-18 15:50, slack,-
2020-08-18 20:47, flood,50
2020-08-19 00:20, slack,-
2020-08-19 02:09, ebb,-37
2020-08-19 04:32, slack,-
2020-08-19 09:41, flood,50
2020-08-19 12:56, slack,-
2020-08-19 14:33, ebb,-35
2020-08-19 16:38, slack,-
2020-08-19 21:41, flood,54
2020-08-20 01:08, slack,-
2020-08-20 02:57, ebb,-39
2020-08-20 05:14, slack,-
2020-08-20 10:23, flood,54
2020-08-20 13:44, slack,-
2020-08-20 15:27, ebb,-37
2020-08-20 17:26, slack,-
2020-08-20 22:29, flood,56
2020-08-21 01:56, slack,-
2020-08-21 03:45, ebb,-41
2020-08-21 06:02, slack,-
2020-08-21 11:11, flood,55
2020-08-21 14:32, slack,-
2020-08-21 16:15, ebb,-39
2020-08-21 18:14, slack,-
2020-08-21 23:23, flood,56
2020-08-22 02:50, slack,-
2020-08-22 04:33, ebb,-41
2020-08-22 06:50, slack,-
2020-08-22 11:59, flood,55
2020-08-22 15:26, slack,-
2020-08-22 17:03, ebb,-39
2020-08-22 19:08, slack,-
2020-08-23 00:17, flood,53
2020-08-23 03:44, slack,-
2020-08-23 05:27, ebb,-40
2020-08-23 07:38, slack,-
2020-08-23 12:59, flood,53
2020-08-23 16:14, slack,-
2020-08-23 17:51, ebb,-38
2020-08-23 20:08, slack,-
2020-08-24 01:23, flood,50
2020-08-24 04:38, slack,-
2020-08-24 06:15, ebb,-38
2020-08-24 08:32, slack,-
2020-08-24 13:53, flood,51
2020-08-24 17:08, slack,-
2020-08-24 18:45, ebb,-37
2020-08-24 21:08, slack,-
2020-08-25 02:29, flood,47
2020-08-25 05:32, slack,-
2020-08-25 07:09, ebb,-34
2020-08-25 09:32, slack,-
2020-08-25 14:47, flood,48
2020-08-25 18:02, slack,-
2020-08-25 19:39, ebb,-34
2020-08-25 22:14, slack,-
2020-08-26 03:35, flood,44
2020-08-26 06:32, slack,-
2020-08-26 08:03, ebb,-31
2020-08-26 10:32, slack,-
2020-08-26 15:47, flood,44
2020-08-26 19:02, slack,-
2020-08-26 20:33, ebb,-31
2020-08-26 23:20, slack,-
2020-08-27 05:23, flood,42
2020-08-27 07:38, slack,-
2020-08-27 09:03, ebb,-27
2020-08-27 11:32, slack,-
2020-08-27 16:59, flood,41
2020-08-27 19:56, slack,-
2020-08-27 21:33, ebb,-28
2020-08-28 00:26, slack,-
2020-08-28 06:41, flood,44
2020-08-28 08:38, slack,-
2020-08-28 10:09, ebb,-25
2020-08-28 12:38, slack,-
2020-08-28 18:59, flood,41
2020-08-28 21:02, slack,-
2020-08-28 22:51, ebb,-27
2020-08-29 01:26, slack,-
2020-08-29 07:47, flood,47
2020-08-29 09:38, slack,-
2020-08-29 11:51, ebb,-25
2020-08-29 13:32, slack,-
2020-08-29 20:05, flood,44
2020-08-29 21:56, slack,-
2020-08-30 00:45, ebb,-28
2020-08-30 02:20, slack,-
2020-08-30 08:41, flood,51
2020-08-30 10:38, slack,-
2020-08-30 13:09, ebb,-26
2020-08-30 14:32, slack,-
2020-08-30 21:05, flood,47
2020-08-30 22:56, slack,-
2020-08-31 01:39, ebb,-29
2020-08-31 03:14, slack,-
2020-08-31 09:35, flood,54
2020-08-31 11:32, slack,-
2020-08-31 13:57, ebb,-28
2020-08-31 15:20, slack,-
2020-08-31 21:53, flood,49
2020-08-31 23:44, slack,-
2020-09-01 02:27, ebb,-30
2020-09-01 04:02, slack,-
2020-09-01 10:23, flood,55
2020-09-01 12:20, slack,-
2020-09-01 14:45, ebb,-29
2020-09-01 16:08, slack,-
2020-09-01 22:35, flood,50
2020-09-02 00:32, slack,-
2020-09-02 02:51, ebb,-30
2020-09-02 04:44, slack,-
2020-09-02 11:11, flood,53
2020-09-02 13:02, slack,-
2020-09-02 15:15, ebb,-29
2020-09-02 16:56, slack,-
2020-09-02 23:17, flood,48
2020-09-03 01:20, slack,-
2020-09-03 03:15, ebb,-31
2020-09-03 05:26, slack,-
2020-09-03 11:53, flood,50
2020-09-03 13:50, slack,-
2020-09-03 15:39, ebb,-29
2020-09-03 17:38, slack,-
2020-09-03 23:59, flood,45
2020-09-04 02:02, slack,-
2020-09-04 03:45, ebb,-31
2020-09-04 06:08, slack,-
2020-09-04 12:35, flood,45
2020-09-04 14:32, slack,-
2020-09-04 16:09, ebb,-29
2020-09-04 18:20, slack,-
2020-09-04 23:35, flood,41
2020-09-05 02:44, slack,-
2020-09-05 04:21, ebb,-30
2020-09-05 06:44, slack,-
2020-09-05 13:11, flood,40
2020-09-05 15:14, slack,-
2020-09-05 16:45, ebb,-29
2020-09-05 19:08, slack,-
2020-09-05 23:59, flood,39
2020-09-06 03:26, slack,-
2020-09-06 04:57, ebb,-30
2020-09-06 07:20, slack,-
2020-09-06 12:11, flood,37
2020-09-06 15:56, slack,-
2020-09-06 17:27, ebb,-28
2020-09-06 19:50, slack,-
2020-09-07 00:41, flood,37
2020-09-07 04:08, slack,-
2020-09-07 05:39, ebb,-29
2020-09-07 08:02, slack,-
2020-09-07 12:53, flood,36
2020-09-07 16:32, slack,-
2020-09-07 18:03, ebb,-27
2020-09-07 20:38, slack,-
2020-09-08 01:23, flood,35
2020-09-08 04:50, slack,-
2020-09-08 06:21, ebb,-27
2020-09-08 08:44, slack,-
2020-09-08 13:35, flood,35
2020-09-08 17:14, slack,-
2020-09-08 18:51, ebb,-26
2020-09-08 21:26, slack,-
2020-09-09 02:11, flood,34
2020-09-09 05:38, slack,-
2020-09-09 07:09, ebb,-26
2020-09-09 09:32, slack,-
2020-09-09 14:17, flood,35
2020-09-09 17:56, slack,-
2020-09-09 19:33, ebb,-25
2020-09-09 22:20, slack,-
2020-09-10 02:59, flood,33
2020-09-10 06:26, slack,-
2020-09-10 07:57, ebb,-24
2020-09-10 10:26, slack,-
2020-09-10 15:05, flood,35
2020-09-10 18:38, slack,-
2020-09-10 20:21, ebb,-25
2020-09-10 23:14, slack,-
2020-09-11 03:47, flood,33
2020-09-11 07:20, slack,-
2020-09-11 08:45, ebb,-23
2020-09-11 11:14, slack,-
2020-09-11 15:53, flood,35
2020-09-11 19:32, slack,-
2020-09-11 21:15, ebb,-25
2020-09-12 00:08, slack,-
2020-09-12 04:41, flood,34
2020-09-12 08:14, slack,-
2020-09-12 09:45, ebb,-23
2020-09-12 12:08, slack,-
2020-09-12 16:47, flood,37
2020-09-12 20:26, slack,-
2020-09-12 22:09, ebb,-26
2020-09-13 00:56, slack,-
2020-09-13 05:35, flood,36
2020-09-13 09:08, slack,-
2020-09-13 10:39, ebb,-25
2020-09-13 13:02, slack,-
2020-09-13 17:41, flood,40
2020-09-13 21:20, slack,-
2020-09-13 23:09, ebb,-28
2020-09-14 01:44, slack,-
2020-09-14 06:29, flood,39
2020-09-14 10:02, slack,-
2020-09-14 11:39, ebb,-27
2020-09-14 13:50, slack,-
2020-09-14 18:35, flood,43
2020-09-14 22:14, slack,-
2020-09-15 00:03, ebb,-31
2020-09-15 02:32, slack,-
2020-09-15 07:23, flood,43
2020-09-15 10:56, slack,-
2020-09-15 12:27, ebb,-31
2020-09-15 14:38, slack,-
2020-09-15 19:29, flood,48
2020-09-15 23:08, slack,-
2020-09-16 00:51, ebb,-35
2020-09-16 03:20, slack,-
2020-09-16 08:23, flood,48
2020-09-16 11:44, slack,-
2020-09-16 13:21, ebb,-34
2020-09-16 15:32, slack,-
2020-09-16 20:29, flood,52
2020-09-17 00:02, slack,-
2020-09-17 01:45, ebb,-38
2020-09-17 04:08, slack,-
2020-09-17 09:17, flood,53
2020-09-17 12:32, slack,-
2020-09-17 14:15, ebb,-37
2020-09-17 16:20, slack,-
2020-09-17 21:23, flood,56
2020-09-18 00:50, slack,-
2020-09-18 02:33, ebb,-40
2020-09-18 04:50, slack,-
2020-09-18 10:05, flood,56
2020-09-18 13:20, slack,-
2020-09-18 15:03, ebb,-39
2020-09-18 17:08, slack,-
2020-09-18 22:17, flood,57
2020-09-19 01:38, slack,-
2020-09-19 03:27, ebb,-41
2020-09-19 05:38, slack,-
2020-09-19 10:47, flood,57
2020-09-19 14:08, slack,-
2020-09-19 15:51, ebb,-40
2020-09-19 18:02, slack,-
2020-09-19 23:11, flood,56
2020-09-20 02:32, slack,-
2020-09-20 04:15, ebb,-41
2020-09-20 06:26, slack,-
2020-09-20 11:35, flood,55
2020-09-20 15:02, slack,-
2020-09-20 16:39, ebb,-40
2020-09-20 18:56, slack,-
2020-09-21 00:05, flood,53
2020-09-21 03:26, slack,-
2020-09-21 05:03, ebb,-39
2020-09-21 07:14, slack,-
2020-09-21 12:29, flood,52
2020-09-21 15:50, slack,-
2020-09-21 17:33, ebb,-39
2020-09-21 19:50, slack,-
2020-09-22 01:17, flood,49
2020-09-22 04:20, slack,-
2020-09-22 05:57, ebb,-36
2020-09-22 08:08, slack,-
2020-09-22 13:29, flood,48
2020-09-22 16:44, slack,-
2020-09-22 18:21, ebb,-36
2020-09-22 20:50, slack,-
2020-09-23 02:41, flood,46
2020-09-23 05:20, slack,-
2020-09-23 06:51, ebb,-32
2020-09-23 09:08, slack,-
2020-09-23 14:35, flood,44
2020-09-23 17:38, slack,-
2020-09-23 19:15, ebb,-33
2020-09-23 21:56, slack,-
2020-09-24 04:05, flood,44
2020-09-24 06:14, slack,-
2020-09-24 07:39, ebb,-29
2020-09-24 10:14, slack,-
2020-09-24 15:47, flood,40
2020-09-24 18:38, slack,-
2020-09-24 20:09, ebb,-29
2020-09-24 23:02, slack,-
2020-09-25 05:17, flood,44
2020-09-25 07:14, slack,-
2020-09-25 08:39, ebb,-25
2020-09-25 11:20, slack,-
2020-09-25 17:35, flood,39
2020-09-25 19:38, slack,-
2020-09-25 21:09, ebb,-26
2020-09-26 00:08, slack,-
2020-09-26 06:23, flood,45
2020-09-26 08:20, slack,-
2020-09-26 09:51, ebb,-23
2020-09-26 12:20, slack,-
2020-09-26 18:41, flood,40
2020-09-26 20:38, slack,-
2020-09-26 23:45, ebb,-25
2020-09-27 01:02, slack,-
2020-09-27 07:23, flood,47
2020-09-27 09:14, slack,-
2020-09-27 12:09, ebb,-24
2020-09-27 13:14, slack,-
2020-09-27 19:41, flood,42
2020-09-27 21:38, slack,-
2020-09-28 00:39, ebb,-27
2020-09-28 01:56, slack,-
2020-09-28 08:17, flood,49
2020-09-28 10:14, slack,-
2020-09-28 12:57, ebb,-26
2020-09-28 14:08, slack,-
2020-09-28 20:41, flood,45
2020-09-28 22:32, slack,-
2020-09-29 01:27, ebb,-28
2020-09-29 02:50, slack,-
2020-09-29 09:11, flood,51
2020-09-29 11:02, slack,-
2020-09-29 13:45, ebb,-28
2020-09-29 15:02, slack,-
2020-09-29 21:29, flood,47
2020-09-29 23:20, slack,-
2020-09-30 02:03, ebb,-29
2020-09-30 03:32, slack,-
2020-09-30 09:59, flood,51
2020-09-30 11:50, slack,-
2020-09-30 14:27, ebb,-28
2020-09-30 15:44, slack,-
2020-09-30 22:11, flood,48
2020-10-01 00:08, slack,-
2020-10-01 02:33, ebb,-29
2020-10-01 04:14, slack,-
2020-10-01 10:41, flood,49
2020-10-01 12:32, slack,-
2020-10-01 14:57, ebb,-29
2020-10-01 16:26, slack,-
2020-10-01 22:53, flood,46
2020-10-02 00:50, slack,-
2020-10-02 02:39, ebb,-29
2020-10-02 04:50, slack,-
2020-10-02 11:23, flood,46
2020-10-02 13:14, slack,-
2020-10-02 15:09, ebb,-29
2020-10-02 17:14, slack,-
2020-10-02 23:23, flood,44
2020-10-03 01:32, slack,-
2020-10-03 03:15, ebb,-29
2020-10-03 05:32, slack,-
2020-10-03 11:53, flood,41
2020-10-03 13:56, slack,-
2020-10-03 15:39, ebb,-29
2020-10-03 17:56, slack,-
2020-10-03 22:53, flood,42
2020-10-04 02:14, slack,-
2020-10-04 03:51, ebb,-30
2020-10-04 06:08, slack,-
2020-10-04 10:53, flood,39
2020-10-04 14:38, slack,-
2020-10-04 16:15, ebb,-30
2020-10-04 18:32, slack,-
2020-10-04 23:23, flood,40
2020-10-05 02:56, slack,-
2020-10-05 04:27, ebb,-29
2020-10-05 06:44, slack,-
2020-10-05 11:29, flood,39
2020-10-05 15:14, slack,-
2020-10-05 16:51, ebb,-29
2020-10-05 19:20, slack,-
2020-10-06 00:05, flood,39
2020-10-06 03:38, slack,-
2020-10-06 05:09, ebb,-29
2020-10-06 07:20, slack,-
2020-10-06 12:05, flood,38
2020-10-06 15:56, slack,-
2020-10-06 17:33, ebb,-29
2020-10-06 20:02, slack,-
2020-10-07 00:53, flood,37
2020-10-07 04:20, slack,-
2020-10-07 05:51, ebb,-28
2020-10-07 08:02, slack,-
2020-10-07 12:53, flood,37
2020-10-07 16:32, slack,-
2020-10-07 18:15, ebb,-29
2020-10-07 20:50, slack,-
2020-10-08 01:41, flood,36
2020-10-08 05:08, slack,-
2020-10-08 06:39, ebb,-27
2020-10-08 08:50, slack,-
2020-10-08 13:47, flood,36
2020-10-08 17:14, slack,-
2020-10-08 19:03, ebb,-28
2020-10-08 21:44, slack,-
2020-10-09 02:35, flood,36
2020-10-09 05:56, slack,-
2020-10-09 07:27, ebb,-26
2020-10-09 09:44, slack,-
2020-10-09 14:35, flood,36
2020-10-09 18:02, slack,-
2020-10-09 19:51, ebb,-28
2020-10-09 22:38, slack,-
2020-10-10 03:23, flood,36
2020-10-10 06:50, slack,-
2020-10-10 08:21, ebb,-25
2020-10-10 10:44, slack,-
2020-10-10 15:29, flood,37
2020-10-10 18:56, slack,-
2020-10-10 20:45, ebb,-27
2020-10-10 23:32, slack,-
2020-10-11 04:17, flood,37
2020-10-11 07:44, slack,-
2020-10-11 09:15, ebb,-25
2020-10-11 11:38, slack,-
2020-10-11 16:23, flood,39
2020-10-11 19:50, slack,-
2020-10-11 21:39, ebb,-28
2020-10-12 00:20, slack,-
2020-10-12 05:11, flood,40
2020-10-12 08:38, slack,-
2020-10-12 10:15, ebb,-27
2020-10-12 12:32, slack,-
2020-10-12 17:17, flood,42
2020-10-12 20:50, slack,-
2020-10-12 22:39, ebb,-30
2020-10-13 01:14, slack,-
2020-10-13 06:05, flood,43
2020-10-13 09:32, slack,-
2020-10-13 11:09, ebb,-29
2020-10-13 13:26, slack,-
2020-10-13 18:17, flood,46
2020-10-13 21:50, slack,-
2020-10-13 23:33, ebb,-32
2020-10-14 02:02, slack,-
2020-10-14 06:59, flood,47
2020-10-14 10:26, slack,-
2020-10-14 12:09, ebb,-33
2020-10-14 14:20, slack,-
2020-10-14 19:11, flood,49
2020-10-14 22:44, slack,-
2020-10-15 00:33, ebb,-35
2020-10-15 02:50, slack,-
2020-10-15 07:59, flood,50
2020-10-15 11:20, slack,-
2020-10-15 12:57, ebb,-36
2020-10-15 15:08, slack,-
2020-10-15 20:11, flood,52
2020-10-15 23:38, slack,-
2020-10-16 01:21, ebb,-37
2020-10-16 03:38, slack,-
2020-10-16 08:53, flood,54
2020-10-16 12:08, slack,-
2020-10-16 13:51, ebb,-38
2020-10-16 16:02, slack,-
2020-10-16 21:11, flood,55
2020-10-17 00:32, slack,-
2020-10-17 02:15, ebb,-39
2020-10-17 04:26, slack,-
2020-10-17 09:41, flood,56
2020-10-17 12:56, slack,-
2020-10-17 14:39, ebb,-40
2020-10-17 16:56, slack,-
2020-10-17 22:11, flood,56
2020-10-18 01:26, slack,-
2020-10-18 03:03, ebb,-39
2020-10-18 05:14, slack,-
2020-10-18 10:29, flood,56
2020-10-18 13:50, slack,-
2020-10-18 15:33, ebb,-41
2020-10-18 17:44, slack,-
2020-10-18 23:05, flood,55
2020-10-19 02:20, slack,-
2020-10-19 03:57, ebb,-38
2020-10-19 06:02, slack,-
2020-10-19 11:17, flood,54
2020-10-19 14:38, slack,-
2020-10-19 16:21, ebb,-40
2020-10-19 18:38, slack,-
2020-10-20 00:05, flood,52
2020-10-20 03:08, slack,-
2020-10-20 04:45, ebb,-36
2020-10-20 06:56, slack,-
2020-10-20 12:11, flood,49
2020-10-20 15:32, slack,-
2020-10-20 17:09, ebb,-38
2020-10-20 19:32, slack,-
2020-10-21 01:47, flood,49
2020-10-21 04:08, slack,-
2020-10-21 05:39, ebb,-34
2020-10-21 07:50, slack,-
2020-10-21 13:17, flood,45
2020-10-21 16:20, slack,-
2020-10-21 18:03, ebb,-35
2020-10-21 20:32, slack,-
2020-10-22 02:59, flood,47
2020-10-22 05:02, slack,-
2020-10-22 06:27, ebb,-30
2020-10-22 08:50, slack,-
2020-10-22 14:53, flood,41
2020-10-22 17:20, slack,-
2020-10-22 18:51, ebb,-32
2020-10-22 21:38, slack,-
2020-10-23 03:59, flood,46
2020-10-23 05:56, slack,-
2020-10-23 07:21, ebb,-27
2020-10-23 09:56, slack,-
2020-10-23 16:11, flood,39
2020-10-23 18:14, slack,-
2020-10-23 19:45, ebb,-28
2020-10-23 22:44, slack,-
2020-10-24 04:59, flood,45
2020-10-24 06:56, slack,-
2020-10-24 08:21, ebb,-24
2020-10-24 11:02, slack,-
2020-10-24 17:17, flood,38
2020-10-24 19:14, slack,-
2020-10-24 20:45, ebb,-25
2020-10-24 23:44, slack,-
2020-10-25 05:59, flood,45
2020-10-25 07:56, slack,-
2020-10-25 09:33, ebb,-22
2020-10-25 10:45, ebb,-22
2020-10-25 12:02, slack,-
2020-10-25 18:17, flood,39
2020-10-25 20:08, slack,-
2020-10-25 23:27, ebb,-24
2020-10-26 00:38, slack,-
2020-10-26 06:59, flood,45
2020-10-26 08:50, slack,-
2020-10-26 11:51, ebb,-24
2020-10-26 12:56, slack,-
2020-10-26 19:17, flood,40
2020-10-26 21:08, slack,-
2020-10-27 00:15, ebb,-25
2020-10-27 01:26, slack,-
2020-10-27 07:53, flood,46
2020-10-27 09:44, slack,-
2020-10-27 12:39, ebb,-26
2020-10-27 13:44, slack,-
2020-10-27 20:11, flood,42
2020-10-27 22:02, slack,-
2020-10-28 00:57, ebb,-26
2020-10-28 02:14, slack,-
2020-10-28 08:41, flood,46
2020-10-28 10:32, slack,-
2020-10-28 13:21, ebb,-27
2020-10-28 14:32, slack,-
2020-10-28 20:59, flood,43
2020-10-28 22:50, slack,-
2020-10-29 01:33, ebb,-26
2020-10-29 02:56, slack,-
2020-10-29 09:29, flood,46
2020-10-29 11:20, slack,-
2020-10-29 14:03, ebb,-28
2020-10-29 15:20, slack,-
2020-10-29 21:47, flood,44
2020-10-29 23:38, slack,-
2020-10-30 01:33, ebb,-27
2020-10-30 03:38, slack,-
2020-10-30 10:11, flood,44
2020-10-30 12:02, slack,-
2020-10-30 14:21, ebb,-28
2020-10-30 16:02, slack,-
2020-10-30 22:23, flood,43
2020-10-31 00:20, slack,-
2020-10-31 02:03, ebb,-27
2020-10-31 04:14, slack,-
2020-10-31 10:47, flood,40
2020-10-31 12:44, slack,-
2020-10-31 14:33, ebb,-29
2020-10-31 16:44, slack,-
2020-10-31 22:53, flood,41
2020-11-01 01:02, slack,-
2020-11-01 02:39, ebb,-28
2020-11-01 04:50, slack,-
2020-11-01 09:41, flood,39
2020-11-01 13:20, slack,-
2020-11-01 15:03, ebb,-30
2020-11-01 17:26, slack,-
2020-11-01 22:17, flood,41
2020-11-02 01:44, slack,-
2020-11-02 03:15, ebb,-29
2020-11-02 05:32, slack,-
2020-11-02 10:11, flood,40
2020-11-02 14:02, slack,-
2020-11-02 15:39, ebb,-30
2020-11-02 18:08, slack,-
2020-11-02 22:53, flood,41
2020-11-03 02:26, slack,-
2020-11-03 03:57, ebb,-29
2020-11-03 06:08, slack,-
2020-11-03 10:53, flood,41
2020-11-03 14:38, slack,-
2020-11-03 16:21, ebb,-31
2020-11-03 18:44, slack,-
2020-11-03 23:35, flood,40
2020-11-04 03:08, slack,-
2020-11-04 04:39, ebb,-29
2020-11-04 06:44, slack,-
2020-11-04 11:35, flood,40
2020-11-04 15:14, slack,-
2020-11-04 17:03, ebb,-31
2020-11-04 19:26, slack,-
2020-11-05 00:23, flood,39
2020-11-05 03:56, slack,-
2020-11-05 05:27, ebb,-29
2020-11-05 07:32, slack,-
2020-11-05 12:23, flood,39
2020-11-05 15:56, slack,-
2020-11-05 17:45, ebb,-31
2020-11-05 20:14, slack,-
2020-11-06 01:11, flood,39
2020-11-06 04:38, slack,-
2020-11-06 06:15, ebb,-29
2020-11-06 08:14, slack,-
2020-11-06 13:17, flood,39
2020-11-06 16:44, slack,-
2020-11-06 18:33, ebb,-31
2020-11-06 21:02, slack,-
2020-11-07 02:05, flood,39
2020-11-07 05:26, slack,-
2020-11-07 07:03, ebb,-28
2020-11-07 09:14, slack,-
2020-11-07 14:11, flood,39
2020-11-07 17:32, slack,-
2020-11-07 19:21, ebb,-31
2020-11-07 22:02, slack,-
2020-11-08 02:59, flood,40
2020-11-08 06:20, slack,-
2020-11-08 07:51, ebb,-28
2020-11-08 10:14, slack,-
2020-11-08 15:05, flood,41
2020-11-08 18:26, slack,-
2020-11-08 20:15, ebb,-31
2020-11-08 22:56, slack,-
2020-11-09 03:53, flood,42
2020-11-09 07:14, slack,-
2020-11-09 08:45, ebb,-28
2020-11-09 11:08, slack,-
2020-11-09 15:59, flood,42
2020-11-09 19:26, slack,-
2020-11-09 21:09, ebb,-31
2020-11-09 23:50, slack,-
2020-11-10 04:41, flood,44
2020-11-10 08:08, slack,-
2020-11-10 09:45, ebb,-29
2020-11-10 12:08, slack,-
2020-11-10 16:59, flood,44
2020-11-10 20:26, slack,-
2020-11-10 22:09, ebb,-31
2020-11-11 00:44, slack,-
2020-11-11 05:35, flood,47
2020-11-11 09:08, slack,-
2020-11-11 10:45, ebb,-31
2020-11-11 13:02, slack,-
2020-11-11 17:53, flood,47
2020-11-11 21:26, slack,-
2020-11-11 23:09, ebb,-33
2020-11-12 01:32, slack,-
2020-11-12 06:35, flood,49
2020-11-12 10:02, slack,-
2020-11-12 11:45, ebb,-34
2020-11-12 14:02, slack,-
2020-11-12 18:53, flood,49
2020-11-12 22:26, slack,-
2020-11-13 00:09, ebb,-35
2020-11-13 02:26, slack,-
2020-11-13 07:29, flood,51
2020-11-13 10:56, slack,-
2020-11-13 12:39, ebb,-36
2020-11-13 14:56, slack,-
2020-11-13 19:59, flood,51
2020-11-13 23:20, slack,-
2020-11-14 00:57, ebb,-36
2020-11-14 03:14, slack,-
2020-11-14 08:29, flood,53
2020-11-14 11:44, slack,-
2020-11-14 13:27, ebb,-38
2020-11-14 15:44, slack,-
2020-11-14 21:17, flood,53
2020-11-15 00:14, slack,-
2020-11-15 01:51, ebb,-36
2020-11-15 04:02, slack,-
2020-11-15 09:23, flood,54
2020-11-15 12:38, slack,-
2020-11-15 14:21, ebb,-40
2020-11-15 16:38, slack,-
2020-11-15 22:23, flood,54
2020-11-16 01:08, slack,-
2020-11-16 02:45, ebb,-36
2020-11-16 04:56, slack,-
2020-11-16 10:17, flood,53
2020-11-16 13:26, slack,-
2020-11-16 15:09, ebb,-40
2020-11-16 17:32, slack,-
2020-11-16 23:35, flood,54
2020-11-17 02:02, slack,-
2020-11-17 03:39, ebb,-35
2020-11-17 05:44, slack,-
2020-11-17 11:05, flood,50
2020-11-17 14:20, slack,-
2020-11-17 16:03, ebb,-39
2020-11-17 18:26, slack,-
2020-11-18 00:47, flood,52
2020-11-18 02:56, slack,-
2020-11-18 04:27, ebb,-34
2020-11-18 06:38, slack,-
2020-11-18 12:05, flood,46
2020-11-18 15:08, slack,-
2020-11-18 16:51, ebb,-36
2020-11-18 19:20, slack,-
2020-11-19 01:47, flood,51
2020-11-19 03:50, slack,-
2020-11-19 05:21, ebb,-31
2020-11-19 07:32, slack,-
2020-11-19 13:53, flood,43
2020-11-19 16:02, slack,-
2020-11-19 17:39, ebb,-34
2020-11-19 20:14, slack,-
2020-11-20 02:47, flood,49
2020-11-20 04:44, slack,-
2020-11-20 06:09, ebb,-29
2020-11-20 08:32, slack,-
2020-11-20 14:59, flood,41
2020-11-20 16:56, slack,-
2020-11-20 18:33, ebb,-31
2020-11-20 21:14, slack,-
2020-11-21 03:41, flood,48
2020-11-21 05:38, slack,-
2020-11-21 07:03, ebb,-26
2020-11-21 09:38, slack,-
2020-11-21 15:53, flood,39
2020-11-21 17:50, slack,-
2020-11-21 19:21, ebb,-28
2020-11-21 22:14, slack,-
2020-11-22 04:35, flood,46
2020-11-22 06:32, slack,-
2020-11-22 07:57, ebb,-24
2020-11-22 10:38, slack,-
2020-11-22 16:53, flood,38
2020-11-22 18:44, slack,-
2020-11-22 20:15, ebb,-25
